cellID	cellType	SubjectName	clusterID
cell_1	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_2	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_3	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_4	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_5	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_6	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_7	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_8	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_9	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_10	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_11	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_12	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_13	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_14	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_15	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_16	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_17	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_18	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_19	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_20	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_21	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_22	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_23	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_24	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_25	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_26	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_27	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_28	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_29	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_30	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_31	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_32	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_33	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_34	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_35	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_36	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_37	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_38	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_39	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_40	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_41	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_42	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_43	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_44	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_45	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_46	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_47	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_48	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_49	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_50	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_51	regrouped.cluster.1	Mix_1	regrouped.cluster.1
cell_52	regrouped.cluster.1	Mix_2	regrouped.cluster.1
cell_53	regrouped.cluster.1	Mix_3	regrouped.cluster.1
cell_54	regrouped.cluster.1	Mix_4	regrouped.cluster.1
cell_55	regrouped.cluster.1	Mix_5	regrouped.cluster.1
cell_56	regrouped.cluster.1	Mix_6	regrouped.cluster.1
cell_57	regrouped.cluster.1	Mix_7	regrouped.cluster.1
cell_58	regrouped.cluster.1	Mix_8	regrouped.cluster.1
cell_59	regrouped.cluster.1	Mix_9	regrouped.cluster.1
cell_60	regrouped.cluster.1	Mix_10	regrouped.cluster.1
cell_61	regrouped.cluster.1	Mix_1	regrouped.cluster.1
