cellID	cellType	SubjectName
cell_1	cell_type_1	Mix_1
cell_2	cell_type_1	Mix_2
cell_3	cell_type_1	Mix_3
cell_4	cell_type_1	Mix_4
cell_5	cell_type_1	Mix_5
cell_6	cell_type_1	Mix_6
cell_7	cell_type_1	Mix_7
cell_8	cell_type_1	Mix_8
cell_9	cell_type_1	Mix_9
cell_10	cell_type_1	Mix_10
cell_11	cell_type_1	Mix_1
cell_12	cell_type_1	Mix_2
cell_13	cell_type_1	Mix_3
cell_14	cell_type_1	Mix_4
cell_15	cell_type_1	Mix_5
cell_16	cell_type_1	Mix_6
cell_17	cell_type_1	Mix_7
cell_18	cell_type_1	Mix_8
cell_19	cell_type_1	Mix_9
cell_20	cell_type_1	Mix_10
cell_21	cell_type_1	Mix_1
cell_22	cell_type_1	Mix_2
cell_23	cell_type_1	Mix_3
cell_24	cell_type_1	Mix_4
cell_25	cell_type_1	Mix_5
cell_26	cell_type_1	Mix_6
cell_27	cell_type_1	Mix_7
cell_28	cell_type_1	Mix_8
cell_29	cell_type_1	Mix_9
cell_30	cell_type_1	Mix_10
cell_31	cell_type_1	Mix_1
cell_32	cell_type_1	Mix_2
cell_33	cell_type_1	Mix_3
cell_34	cell_type_1	Mix_4
cell_35	cell_type_1	Mix_5
cell_36	cell_type_1	Mix_6
cell_37	cell_type_1	Mix_7
cell_38	cell_type_1	Mix_8
cell_39	cell_type_1	Mix_9
cell_40	cell_type_1	Mix_10
cell_41	cell_type_1	Mix_1
cell_42	cell_type_1	Mix_2
cell_43	cell_type_1	Mix_3
cell_44	cell_type_1	Mix_4
cell_45	cell_type_1	Mix_5
cell_46	cell_type_1	Mix_6
cell_47	cell_type_1	Mix_7
cell_48	cell_type_1	Mix_8
cell_49	cell_type_1	Mix_9
cell_50	cell_type_1	Mix_10
cell_51	cell_type_1	Mix_1
cell_52	cell_type_1	Mix_2
cell_53	cell_type_1	Mix_3
cell_54	cell_type_1	Mix_4
cell_55	cell_type_1	Mix_5
cell_56	cell_type_1	Mix_6
cell_57	cell_type_1	Mix_7
cell_58	cell_type_1	Mix_8
cell_59	cell_type_1	Mix_9
cell_60	cell_type_1	Mix_10
cell_61	cell_type_1	Mix_1
cell_62	cell_type_1	Mix_2
cell_63	cell_type_1	Mix_3
cell_64	cell_type_1	Mix_4
cell_65	cell_type_1	Mix_5
cell_66	cell_type_1	Mix_6
cell_67	cell_type_1	Mix_7
cell_68	cell_type_1	Mix_8
cell_69	cell_type_1	Mix_9
cell_70	cell_type_1	Mix_10
cell_71	cell_type_1	Mix_1
cell_72	cell_type_1	Mix_2
cell_73	cell_type_1	Mix_3
cell_74	cell_type_1	Mix_4
cell_75	cell_type_1	Mix_5
cell_76	cell_type_1	Mix_6
cell_77	cell_type_1	Mix_7
cell_78	cell_type_1	Mix_8
cell_79	cell_type_1	Mix_9
cell_80	cell_type_1	Mix_10
cell_81	cell_type_1	Mix_1
cell_82	cell_type_1	Mix_2
cell_83	cell_type_1	Mix_3
cell_84	cell_type_1	Mix_4
cell_85	cell_type_1	Mix_5
cell_86	cell_type_1	Mix_6
cell_87	cell_type_1	Mix_7
cell_88	cell_type_1	Mix_8
cell_89	cell_type_1	Mix_9
cell_90	cell_type_1	Mix_10
cell_91	cell_type_1	Mix_1
cell_92	cell_type_1	Mix_2
cell_93	cell_type_1	Mix_3
cell_94	cell_type_1	Mix_4
cell_95	cell_type_1	Mix_5
cell_96	cell_type_1	Mix_6
cell_97	cell_type_1	Mix_7
cell_98	cell_type_1	Mix_8
cell_99	cell_type_1	Mix_9
cell_100	cell_type_1	Mix_10
cell_101	cell_type_1	Mix_1
cell_102	cell_type_1	Mix_2
cell_103	cell_type_1	Mix_3
cell_104	cell_type_1	Mix_4
cell_105	cell_type_1	Mix_5
cell_106	cell_type_1	Mix_6
cell_107	cell_type_1	Mix_7
cell_108	cell_type_1	Mix_8
cell_109	cell_type_1	Mix_9
cell_110	cell_type_1	Mix_10
cell_111	cell_type_1	Mix_1
cell_112	cell_type_1	Mix_2
cell_113	cell_type_1	Mix_3
cell_114	cell_type_1	Mix_4
cell_115	cell_type_1	Mix_5
cell_116	cell_type_1	Mix_6
cell_117	cell_type_1	Mix_7
cell_118	cell_type_1	Mix_8
cell_119	cell_type_1	Mix_9
cell_120	cell_type_1	Mix_10
cell_121	cell_type_1	Mix_1
cell_122	cell_type_1	Mix_2
cell_123	cell_type_1	Mix_3
cell_124	cell_type_1	Mix_4
cell_125	cell_type_1	Mix_5
cell_126	cell_type_1	Mix_6
cell_127	cell_type_1	Mix_7
cell_128	cell_type_1	Mix_8
cell_129	cell_type_1	Mix_9
cell_130	cell_type_1	Mix_10
cell_131	cell_type_1	Mix_1
cell_132	cell_type_1	Mix_2
cell_133	cell_type_1	Mix_3
cell_134	cell_type_1	Mix_4
cell_135	cell_type_1	Mix_5
cell_136	cell_type_1	Mix_6
cell_137	cell_type_1	Mix_7
cell_138	cell_type_1	Mix_8
cell_139	cell_type_1	Mix_9
cell_140	cell_type_1	Mix_10
cell_141	cell_type_1	Mix_1
cell_142	cell_type_1	Mix_2
cell_143	cell_type_1	Mix_3
cell_144	cell_type_1	Mix_4
cell_145	cell_type_1	Mix_5
cell_146	cell_type_1	Mix_6
cell_147	cell_type_1	Mix_7
cell_148	cell_type_1	Mix_8
cell_149	cell_type_1	Mix_9
cell_150	cell_type_1	Mix_10
cell_151	cell_type_1	Mix_1
cell_152	cell_type_1	Mix_2
cell_153	cell_type_1	Mix_3
cell_154	cell_type_1	Mix_4
cell_155	cell_type_1	Mix_5
cell_156	cell_type_1	Mix_6
cell_157	cell_type_1	Mix_7
cell_158	cell_type_1	Mix_8
cell_159	cell_type_1	Mix_9
cell_160	cell_type_1	Mix_10
cell_161	cell_type_1	Mix_1
cell_162	cell_type_1	Mix_2
cell_163	cell_type_1	Mix_3
cell_164	cell_type_1	Mix_4
cell_165	cell_type_1	Mix_5
cell_166	cell_type_1	Mix_6
cell_167	cell_type_1	Mix_7
cell_168	cell_type_1	Mix_8
cell_169	cell_type_1	Mix_9
cell_170	cell_type_1	Mix_10
cell_171	cell_type_1	Mix_1
cell_172	cell_type_1	Mix_2
cell_173	cell_type_1	Mix_3
cell_174	cell_type_1	Mix_4
cell_175	cell_type_1	Mix_5
cell_176	cell_type_1	Mix_6
cell_177	cell_type_1	Mix_7
cell_178	cell_type_1	Mix_8
cell_179	cell_type_1	Mix_9
cell_180	cell_type_1	Mix_10
cell_181	cell_type_1	Mix_1
cell_182	cell_type_1	Mix_2
cell_183	cell_type_1	Mix_3
cell_184	cell_type_1	Mix_4
cell_185	cell_type_1	Mix_5
cell_186	cell_type_1	Mix_6
cell_187	cell_type_1	Mix_7
cell_188	cell_type_1	Mix_8
cell_189	cell_type_1	Mix_9
cell_190	cell_type_1	Mix_10
cell_191	cell_type_1	Mix_1
cell_192	cell_type_1	Mix_2
cell_193	cell_type_1	Mix_3
cell_194	cell_type_1	Mix_4
cell_195	cell_type_1	Mix_5
cell_196	cell_type_1	Mix_6
cell_197	cell_type_1	Mix_7
cell_198	cell_type_1	Mix_8
cell_199	cell_type_1	Mix_9
cell_200	cell_type_1	Mix_10
cell_201	cell_type_1	Mix_1
cell_202	cell_type_1	Mix_2
cell_203	cell_type_1	Mix_3
cell_204	cell_type_1	Mix_4
cell_205	cell_type_1	Mix_5
cell_206	cell_type_1	Mix_6
cell_207	cell_type_1	Mix_7
cell_208	cell_type_1	Mix_8
